dataset_id,dataset_authors,dataset_year,dataset_doi,in_vivo,experimental_mean,number_of_shoulders,type_of_movement,active,posture,thorax_is_isb,thorax_is_global,thorax_is_isb_correctable,thorax_correction_method,thorax_origin,thorax_x_sense,thorax_x_direction,thorax_y_sense,thorax_y_direction,thorax_z_sense,thorax_z_direction,humerus_is_isb,humerus_is_isb_correctable,humerus_correction_method,humerus_origin,humerus_x_sense,humerus_x_direction,humerus_y_sense,humerus_y_direction,humerus_z_sense,humerus_z_direction,thoracohumeral_sequence,thoracohumeral_angle,thoracohumeral_usable,thoracohumeral_risk,clavicle_is_isb,clavicle_is_isb_correctable,clavicle_correction_method,clavicle_origin,clavicle_x_sense,clavicle_x_direction,clavicle_y_sense,clavicle_y_direction,clavicle_z_sense,clavicle_z_direction,scapula_is_isb,scapula_is_isb_correctable,scapula_correction_method,scapula_origin,scapula_x_sense,scapula_x_direction,scapula_y_sense,scapula_y_direction,scapula_z_sense,scapula_z_direction,humeral_motion,joint,parent,child,euler_sequence,origin_displacement,displacement_cs,displacement_absolute,displacement_correctable,displacement_correction_method,is_data_mean,shoulder_id,source_extraction,folder,dof_1st_euler,dof_2nd_euler,dof_3rd_euler,dof_translation_x,dof_translation_y,dof_translation_z,dof_translation_norm
#2,Bourne et al.,2003,"""10.14288/1.0091259; 10.1016/j.jse.2006.06.011""",True,intra cortical pins,7.0,dynamic,True,sitting,False,False,False,,IJ,+mediolateral,vec(T7>IJ)^vec(T8>C7),+posteroanterior,z^x,+inferosuperior,vec(T7>C7),False,True,,GH,+mediolateral,y^z,+posteroanterior,vec(AC>EL)^vec(AC>EM),+inferosuperior,vec((EL+EM)/2>AC),zyz,,True,True,,,,,,,,,,,False,True,,AA,+mediolateral,vec(TS>AA),+posteroanterior,vec(AI>TS)^vec(AI>AA),+inferosuperior,x^y,horizontal flexion,scapulothoracic,thorax,scapula,zyx,,,,,,False,2,engauged,#2_Bourne_et_al,ST_protraction_horizontalFlexion_2.csv,ST_medRotation_horizontalFlexion_2.csv,ST_tilt_horizontalFlexion_2.csv,,,,
#2,Bourne et al.,2003,"""10.14288/1.0091259; 10.1016/j.jse.2006.06.011""",True,intra cortical pins,7.0,dynamic,True,sitting,False,False,False,,IJ,+mediolateral,vec(T7>IJ)^vec(T8>C7),+posteroanterior,z^x,+inferosuperior,vec(T7>C7),False,True,,GH,+mediolateral,y^z,+posteroanterior,vec(AC>EL)^vec(AC>EM),+inferosuperior,vec((EL+EM)/2>AC),zyz,,True,True,,,,,,,,,,,False,True,,AA,+mediolateral,vec(TS>AA),+posteroanterior,vec(AI>TS)^vec(AI>AA),+inferosuperior,x^y,horizontal flexion,scapulothoracic,thorax,scapula,zyx,,,,,,False,3,engauged,#2_Bourne_et_al,ST_protraction_horizontalFlexion_3.csv,ST_medRotation_horizontalFlexion_3.csv,ST_tilt_horizontalFlexion_3.csv,,,,
#2,Bourne et al.,2003,"""10.14288/1.0091259; 10.1016/j.jse.2006.06.011""",True,intra cortical pins,7.0,dynamic,True,sitting,False,False,False,,IJ,+mediolateral,vec(T7>IJ)^vec(T8>C7),+posteroanterior,z^x,+inferosuperior,vec(T7>C7),False,True,,GH,+mediolateral,y^z,+posteroanterior,vec(AC>EL)^vec(AC>EM),+inferosuperior,vec((EL+EM)/2>AC),zyz,,True,True,,,,,,,,,,,False,True,,AA,+mediolateral,vec(TS>AA),+posteroanterior,vec(AI>TS)^vec(AI>AA),+inferosuperior,x^y,horizontal flexion,scapulothoracic,thorax,scapula,zyx,,,,,,False,4,engauged,#2_Bourne_et_al,ST_protraction_horizontalFlexion_4.csv,ST_medRotation_horizontalFlexion_4.csv,ST_tilt_horizontalFlexion_4.csv,,,,
#2,Bourne et al.,2003,"""10.14288/1.0091259; 10.1016/j.jse.2006.06.011""",True,intra cortical pins,7.0,dynamic,True,sitting,False,False,False,,IJ,+mediolateral,vec(T7>IJ)^vec(T8>C7),+posteroanterior,z^x,+inferosuperior,vec(T7>C7),False,True,,GH,+mediolateral,y^z,+posteroanterior,vec(AC>EL)^vec(AC>EM),+inferosuperior,vec((EL+EM)/2>AC),zyz,,True,True,,,,,,,,,,,False,True,,AA,+mediolateral,vec(TS>AA),+posteroanterior,vec(AI>TS)^vec(AI>AA),+inferosuperior,x^y,horizontal flexion,scapulothoracic,thorax,scapula,zyx,,,,,,False,5,engauged,#2_Bourne_et_al,ST_protraction_horizontalFlexion_5.csv,ST_medRotation_horizontalFlexion_5.csv,ST_tilt_horizontalFlexion_5.csv,,,,
#2,Bourne et al.,2003,"""10.14288/1.0091259; 10.1016/j.jse.2006.06.011""",True,intra cortical pins,7.0,dynamic,True,sitting,False,False,False,,IJ,+mediolateral,vec(T7>IJ)^vec(T8>C7),+posteroanterior,z^x,+inferosuperior,vec(T7>C7),False,True,,GH,+mediolateral,y^z,+posteroanterior,vec(AC>EL)^vec(AC>EM),+inferosuperior,vec((EL+EM)/2>AC),zyz,,True,True,,,,,,,,,,,False,True,,AA,+mediolateral,vec(TS>AA),+posteroanterior,vec(AI>TS)^vec(AI>AA),+inferosuperior,x^y,horizontal flexion,scapulothoracic,thorax,scapula,zyx,,,,,,False,6,engauged,#2_Bourne_et_al,ST_protraction_horizontalFlexion_6.csv,ST_medRotation_horizontalFlexion_6.csv,ST_tilt_horizontalFlexion_6.csv,,,,
#2,Bourne et al.,2003,"""10.14288/1.0091259; 10.1016/j.jse.2006.06.011""",True,intra cortical pins,7.0,dynamic,True,sitting,False,False,False,,IJ,+mediolateral,vec(T7>IJ)^vec(T8>C7),+posteroanterior,z^x,+inferosuperior,vec(T7>C7),False,True,,GH,+mediolateral,y^z,+posteroanterior,vec(AC>EL)^vec(AC>EM),+inferosuperior,vec((EL+EM)/2>AC),zyz,,True,True,,,,,,,,,,,False,True,,AA,+mediolateral,vec(TS>AA),+posteroanterior,vec(AI>TS)^vec(AI>AA),+inferosuperior,x^y,horizontal flexion,scapulothoracic,thorax,scapula,zyx,,,,,,False,7,engauged,#2_Bourne_et_al,ST_protraction_horizontalFlexion_7.csv,ST_medRotation_horizontalFlexion_7.csv,ST_tilt_horizontalFlexion_7.csv,,,,
#3,Chu et al.,2012,"""10.1016/j.jbiomech.2012.06.025""",True,biplane x-ray fluoroscopy,5.0,dynamic,True,sitting,False,False,False,,IJ,+posteroanterior,y^z,+inferosuperior,vec((T10+PX)/2>(C7+IJ)/2),+mediolateral,vec(T10>IJ)^vec(T10>C7),True,,,GH,+posteroanterior,vec(GH>EL)^vec(GH>EM),+inferosuperior,vec((EL+EM)/2>GH),+mediolateral,x^y,yxy,,True,False,,,,,,,,,,,True,,,AA,+posteroanterior,vec(AI>TS)^vec(AI>AA),+inferosuperior,z^x,+mediolateral,vec(TS>AA),frontal elevation,scapulothoracic,thorax,scapula,yxz,,,,,,True,,engauged,#3_Chu_et_al,ST_protraction_elevationFrontal.csv,ST_medRotation_elevationFrontal.csv,ST_tilt_elevationFrontal.csv,,,,
#3,Chu et al.,2012,"""10.1016/j.jbiomech.2012.06.025""",True,biplane x-ray fluoroscopy,5.0,dynamic,True,sitting,False,False,False,,IJ,+posteroanterior,y^z,+inferosuperior,vec((T10+PX)/2>(C7+IJ)/2),+mediolateral,vec(T10>IJ)^vec(T10>C7),True,,,GH,+posteroanterior,vec(GH>EL)^vec(GH>EM),+inferosuperior,vec((EL+EM)/2>GH),+mediolateral,x^y,yxy,,True,False,,,,,,,,,,,True,,,AA,+posteroanterior,vec(AI>TS)^vec(AI>AA),+inferosuperior,z^x,+mediolateral,vec(TS>AA),scapular elevation,scapulothoracic,thorax,scapula,yxz,,,,,,True,,engauged,#3_Chu_et_al,ST_protraction_elevationScapular.csv,ST_medRotation_elevationScapular.csv,ST_tilt_elevationScapular.csv,,,,
#3,Chu et al.,2012,"""10.1016/j.jbiomech.2012.06.025""",True,biplane x-ray fluoroscopy,5.0,dynamic,True,sitting,False,False,False,,IJ,+posteroanterior,y^z,+inferosuperior,vec((T10+PX)/2>(C7+IJ)/2),+mediolateral,vec(T10>IJ)^vec(T10>C7),True,,,GH,+posteroanterior,vec(GH>EL)^vec(GH>EM),+inferosuperior,vec((EL+EM)/2>GH),+mediolateral,x^y,yxy,,True,False,,,,,,,,,,,True,,,AA,+posteroanterior,vec(AI>TS)^vec(AI>AA),+inferosuperior,z^x,+mediolateral,vec(TS>AA),internal-external rotation 90 degree-abducted,scapulothoracic,thorax,scapula,yxz,,,,,,True,,engauged,#3_Chu_et_al,ST_protraction_rotation90Abd.csv,ST_medRotation_rotation90Abd.csv,ST_tilt_rotation90Abd.csv,,,,
#4,Fung et al.,2001,"""10.1067/mse.2001.114496""",False,intra cortical pins,5.0,dynamic,False,sitting,False,False,False,,T1s,-posteroanterior,geometric,+mediolateral,z^x,+inferosuperior,geometric,False,False,,GH,-posteroanterior,y^z,+mediolateral,geometric,+inferosuperior,geometric,zyz,,True,True,False,False,,CM,-posteroanterior,-thorax_x*,+mediolateral,vec(SC>AC),+inferosuperior,x^y,False,False,,glenoid center,-posteroanterior,geometric,+mediolateral,z^x,+inferosuperior,geometric,frontal elevation,scapulothoracic,thorax,scapula,zxy,,,,,,True,,authors table,#4_Fung_et_al,ST_protraction_FrontalPlane.csv,ST_medRotation_FrontalPlane.csv,ST_tilt_FrontalPlane.csv,,,,
#4,Fung et al.,2001,"""10.1067/mse.2001.114496""",False,intra cortical pins,5.0,dynamic,False,sitting,False,False,False,,T1s,-posteroanterior,geometric,+mediolateral,z^x,+inferosuperior,geometric,False,False,,GH,-posteroanterior,y^z,+mediolateral,geometric,+inferosuperior,geometric,zyz,,True,True,False,False,,CM,-posteroanterior,-thorax_x*,+mediolateral,vec(SC>AC),+inferosuperior,x^y,False,False,,glenoid center,-posteroanterior,geometric,+mediolateral,z^x,+inferosuperior,geometric,frontal elevation,sternoclavicular,thorax,clavicle,zxy,,,,,,True,,authors table,#4_Fung_et_al,SC_protraction_FrontalPlane.csv,SC_elevation_FrontalPlane.csv,SC_rotation_FrontalPlane.csv,,,,
#4,Fung et al.,2001,"""10.1067/mse.2001.114496""",False,intra cortical pins,5.0,dynamic,False,sitting,False,False,False,,T1s,-posteroanterior,geometric,+mediolateral,z^x,+inferosuperior,geometric,False,False,,GH,-posteroanterior,y^z,+mediolateral,geometric,+inferosuperior,geometric,zyz,,True,True,False,False,,CM,-posteroanterior,-thorax_x*,+mediolateral,vec(SC>AC),+inferosuperior,x^y,False,False,,glenoid center,-posteroanterior,geometric,+mediolateral,z^x,+inferosuperior,geometric,scapular elevation,scapulothoracic,thorax,scapula,zxy,,,,,,True,,authors table,#4_Fung_et_al,ST_protraction_ScapularPlane.csv,ST_medRotation_ScapularPlane.csv,ST_tilt_ScapularPlane.csv,,,,
#4,Fung et al.,2001,"""10.1067/mse.2001.114496""",False,intra cortical pins,5.0,dynamic,False,sitting,False,False,False,,T1s,-posteroanterior,geometric,+mediolateral,z^x,+inferosuperior,geometric,False,False,,GH,-posteroanterior,y^z,+mediolateral,geometric,+inferosuperior,geometric,zyz,,True,True,False,False,,CM,-posteroanterior,-thorax_x*,+mediolateral,vec(SC>AC),+inferosuperior,x^y,False,False,,glenoid center,-posteroanterior,geometric,+mediolateral,z^x,+inferosuperior,geometric,scapular elevation,sternoclavicular,thorax,clavicle,zxy,,,,,,True,,authors table,#4_Fung_et_al,SC_protraction_ScapularPlane.csv,SC_elevation_ScapularPlane.csv,SC_rotation_ScapularPlane.csv,,,,
#4,Fung et al.,2001,"""10.1067/mse.2001.114496""",False,intra cortical pins,5.0,dynamic,False,sitting,False,False,False,,T1s,-posteroanterior,geometric,+mediolateral,z^x,+inferosuperior,geometric,False,False,,GH,-posteroanterior,y^z,+mediolateral,geometric,+inferosuperior,geometric,zyz,,True,True,False,False,,CM,-posteroanterior,-thorax_x*,+mediolateral,vec(SC>AC),+inferosuperior,x^y,False,False,,glenoid center,-posteroanterior,geometric,+mediolateral,z^x,+inferosuperior,geometric,sagittal elevation,scapulothoracic,thorax,scapula,zxy,,,,,,True,,authors table,#4_Fung_et_al,ST_protraction_SagittalPlane.csv,ST_medRotation_SagittalPlane.csv,ST_tilt_SagittalPlane.csv,,,,
#4,Fung et al.,2001,"""10.1067/mse.2001.114496""",False,intra cortical pins,5.0,dynamic,False,sitting,False,False,False,,T1s,-posteroanterior,geometric,+mediolateral,z^x,+inferosuperior,geometric,False,False,,GH,-posteroanterior,y^z,+mediolateral,geometric,+inferosuperior,geometric,zyz,,True,True,False,False,,CM,-posteroanterior,-thorax_x*,+mediolateral,vec(SC>AC),+inferosuperior,x^y,False,False,,glenoid center,-posteroanterior,geometric,+mediolateral,z^x,+inferosuperior,geometric,sagittal elevation,sternoclavicular,thorax,clavicle,zxy,,,,,,True,,authors table,#4_Fung_et_al,SC_protraction_SagittalPlane.csv,SC_elevation_SagittalPlane.csv,SC_rotation_SagittalPlane.csv,,,,
#5,Gutierrez Delgado et al.,2017,"""10.1016/j.jse.2016.09.009""",False,intra cortical pins,1.0,dynamic,False,sitting,True,False,,,IJ,+posteroanterior,y^z,+inferosuperior,vec((T8+PX)/2>(C7+IJ)/2),+mediolateral,vec(T8>IJ)^vec(T8>C7),True,,,GH,+posteroanterior,vec(GH>EL)^vec(GH>EM),+inferosuperior,vec((EL+EM)/2>GH),+mediolateral,x^y,,"angle(yh,yt)",True,True,False,False,,SC,+posteroanterior,geometric,+inferosuperior,z^x,+mediolateral,vec(SC>AC),True,,,AA,+posteroanterior,vec(AI>TS)^vec(AI>AA),+inferosuperior,z^x,+mediolateral,vec(TS>AA),frontal elevation,sternoclavicular,thorax,clavicle,yxz,True,,,,,False,1,authors table,#5_Gutierrez_Delgado_et_al,array,array,array,,,,
#5,Gutierrez Delgado et al.,2017,"""10.1016/j.jse.2016.09.009""",False,intra cortical pins,1.0,dynamic,False,sitting,True,False,,,IJ,+posteroanterior,y^z,+inferosuperior,vec((T8+PX)/2>(C7+IJ)/2),+mediolateral,vec(T8>IJ)^vec(T8>C7),True,,,GH,+posteroanterior,vec(GH>EL)^vec(GH>EM),+inferosuperior,vec((EL+EM)/2>GH),+mediolateral,x^y,,"angle(yh,yt)",True,True,False,False,,SC,+posteroanterior,geometric,+inferosuperior,z^x,+mediolateral,vec(SC>AC),True,,,AA,+posteroanterior,vec(AI>TS)^vec(AI>AA),+inferosuperior,z^x,+mediolateral,vec(TS>AA),sagittal elevation,sternoclavicular,thorax,clavicle,yxz,True,,,,,False,1,authors table,#5_Gutierrez_Delgado_et_al,array,array,array,,,,
#6,Henninger et al.,2020,"""10.1016/j.gaitpost.2020.07.020; 10.1016/j.jbiomech.2021.110266; 10.1016/j.gaitpost.2021.05.004; 10.1016/j.jbiomech.2022.111059""",True,biplane x-ray fluoroscopy,20.0,dynamic,True,sitting,True,False,,,IJ,+posteroanterior,,+inferosuperior,,+mediolateral,,True,,,GH,+posteroanterior,,+inferosuperior,,+mediolateral,,yxy,,True,False,,,,,,,,,,,False,True,kolz_GC_to_PA,glenoid center,+posteroanterior,,+inferosuperior,,+mediolateral,,frontal elevation,glenohumeral,scapula,humerus,yxy,GH,scapula,,,,False,1,authors table,Kolz et al 2020,GH_elevationPlane_elevationFrontal_1.csv,GH_elevationAngle_elevationFrontal_1.csv,GH_internalRotation_elevationFrontal_1.csv,GH_anttranslation_elevationFrontal_1.csv,GH_suptranslation_elevationFrontal_1.csv,GH_medtranslation_elevationFrontal_1.csv,
#6,Henninger et al.,2020,"""10.1016/j.gaitpost.2020.07.020; 10.1016/j.jbiomech.2021.110266; 10.1016/j.gaitpost.2021.05.004; 10.1016/j.jbiomech.2022.111059""",True,biplane x-ray fluoroscopy,20.0,dynamic,True,sitting,True,False,,,IJ,+posteroanterior,,+inferosuperior,,+mediolateral,,True,,,GH,+posteroanterior,,+inferosuperior,,+mediolateral,,yxy,,True,False,,,,,,,,,,,False,True,kolz_GC_to_PA,glenoid center,+posteroanterior,,+inferosuperior,,+mediolateral,,frontal elevation,glenohumeral,scapula,humerus,yxy,GH,scapula,,,,False,2,authors table,Kolz et al 2020,GH_elevationPlane_elevationFrontal_2.csv,GH_elevationAngle_elevationFrontal_2.csv,GH_internalRotation_elevationFrontal_2.csv,GH_anttranslation_elevationFrontal_2.csv,GH_suptranslation_elevationFrontal_2.csv,GH_medtranslation_elevationFrontal_2.csv,
#6,Henninger et al.,2020,"""10.1016/j.gaitpost.2020.07.020; 10.1016/j.jbiomech.2021.110266; 10.1016/j.gaitpost.2021.05.004; 10.1016/j.jbiomech.2022.111059""",True,biplane x-ray fluoroscopy,20.0,dynamic,True,sitting,True,False,,,IJ,+posteroanterior,,+inferosuperior,,+mediolateral,,True,,,GH,+posteroanterior,,+inferosuperior,,+mediolateral,,yxy,,True,False,,,,,,,,,,,False,True,kolz_GC_to_PA,glenoid center,+posteroanterior,,+inferosuperior,,+mediolateral,,frontal elevation,glenohumeral,scapula,humerus,yxy,GH,scapula,,,,False,3,authors table,Kolz et al 2020,GH_elevationPlane_elevationFrontal_3.csv,GH_elevationAngle_elevationFrontal_3.csv,GH_internalRotation_elevationFrontal_3.csv,GH_anttranslation_elevationFrontal_3.csv,GH_suptranslation_elevationFrontal_3.csv,GH_medtranslation_elevationFrontal_3.csv,
#6,Henninger et al.,2020,"""10.1016/j.gaitpost.2020.07.020; 10.1016/j.jbiomech.2021.110266; 10.1016/j.gaitpost.2021.05.004; 10.1016/j.jbiomech.2022.111059""",True,biplane x-ray fluoroscopy,20.0,dynamic,True,sitting,True,False,,,IJ,+posteroanterior,,+inferosuperior,,+mediolateral,,True,,,GH,+posteroanterior,,+inferosuperior,,+mediolateral,,yxy,,True,False,,,,,,,,,,,False,True,kolz_GC_to_PA,glenoid center,+posteroanterior,,+inferosuperior,,+mediolateral,,frontal elevation,glenohumeral,scapula,humerus,yxy,GH,scapula,,,,False,4,authors table,Kolz et al 2020,GH_elevationPlane_elevationFrontal_4.csv,GH_elevationAngle_elevationFrontal_4.csv,GH_internalRotation_elevationFrontal_4.csv,GH_anttranslation_elevationFrontal_4.csv,GH_suptranslation_elevationFrontal_4.csv,GH_medtranslation_elevationFrontal_4.csv,
